,precision,recall,f1-score,support
Negatif,0.0,0.0,0.0,2.0
Netral,0.5,1.0,0.6666666666666666,10.0
Positif,0.0,0.0,0.0,8.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.16666666666666666,0.3333333333333333,0.2222222222222222,20.0
weighted avg,0.25,0.5,0.3333333333333333,20.0
